Model,Parameters,Mean_Test_Accuracy,Mean_Test_AUC_ROC,Mean_Test_F1,Mean_Train_Accuracy
GradientBoosting,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100}",0.6331811263318112,0.7054767862107312,0.6301642608262817,1.0
SVM,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.6225266362252664,0.738309702529886,0.7138122734576839,0.6171993911719938
SVM,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'poly'}",0.5601217656012176,0.7256880733944954,0.691620609703134,0.5639269406392694
SVM,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.6286149162861491,0.7364470391993327,0.7156359488586944,0.6225266362252664
SVM,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'poly'}",0.5646879756468798,0.7301362246316375,0.6938163125280236,0.5700152207001522
SVM,"{'C': 1.0, 'gamma': 'scale', 'kernel': 'rbf'}",0.6590563165905631,0.7455379482902419,0.6760071603127455,0.6796042617960426
SVM,"{'C': 1.0, 'gamma': 'scale', 'kernel': 'poly'}",0.5707762557077626,0.7304698359744232,0.6968070394286059,0.5791476407914764
SVM,"{'C': 1.0, 'gamma': 'auto', 'kernel': 'rbf'}",0.6636225266362253,0.7452599388379205,0.6780158511888391,0.6796042617960426
SVM,"{'C': 1.0, 'gamma': 'auto', 'kernel': 'poly'}",0.5707762557077626,0.7311092577147623,0.6968070394286059,0.5791476407914764
SVM,"{'C': 10.0, 'gamma': 'scale', 'kernel': 'rbf'}",0.6636225266362253,0.7399777592438145,0.6651619579251159,0.6940639269406392
SVM,"{'C': 10.0, 'gamma': 'scale', 'kernel': 'poly'}",0.634703196347032,0.7122324159021408,0.6852849641103056,0.6537290715372907
SVM,"{'C': 10.0, 'gamma': 'auto', 'kernel': 'rbf'}",0.6605783866057838,0.7364470391993327,0.663153313124709,0.697869101978691
SVM,"{'C': 10.0, 'gamma': 'auto', 'kernel': 'poly'}",0.6301369863013698,0.7134278565471227,0.670949638162753,0.6704718417047184
MLP,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (64,)}",0.6742770167427702,0.7440366972477065,0.681090270131366,0.6849315068493151
MLP,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (128, 64)}",0.6514459665144597,0.7266611064776202,0.6421855921855922,0.7031963470319634
MLP,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 32, 32)}",0.654490106544901,0.7281067556296913,0.6632483303932372,0.7062404870624048
MLP,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (64,)}",0.6742770167427702,0.7440644981929386,0.681090270131366,0.6841704718417047
MLP,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (128, 64)}",0.6529680365296803,0.7268001112037809,0.6421273981812098,0.7039573820395738
MLP,"{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (32, 32, 32)}",0.6514459665144597,0.7283013622463165,0.6437687754471348,0.7054794520547946
MLP,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (64,)}",0.6681887366818874,0.7380038921323325,0.6909113239990173,0.6681887366818873
MLP,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (128, 64)}",0.6605783866057839,0.742757853767028,0.667420412787266,0.680365296803653
MLP,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 32, 32)}",0.6727549467275494,0.7498192938559911,0.677664373786769,0.6742770167427702
MLP,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (64,)}",0.6681887366818874,0.7380038921323325,0.6909113239990173,0.6681887366818873
MLP,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (128, 64)}",0.6605783866057839,0.7426744509313318,0.667420412787266,0.680365296803653
MLP,"{'activation': 'tanh', 'alpha': 0.001, 'hidden_layer_sizes': (32, 32, 32)}",0.6712328767123287,0.7499026966916875,0.6766233744273839,0.6742770167427702
